parcel_id,latitude,longitude
"0002F00250000000","40.439597754","-79.9948425608"
"0083P00165000000","40.4636755539","-79.9267198886"
"0049S00350000G00","40.4624914239","-79.9529509158"
"0097H00128000000","40.3909338813","-80.0182257815"
"0040S00200000000","40.4346181375","-80.0515783478"
"0029P00100000000","40.4239643883","-79.9611220382"
"0002K00004000000","40.4375457937","-79.9936400643"
"0029J00070000000","40.4279562921","-79.9655922462"
"0096K00326000000","40.3877344863","-80.0085268363"
"0024P00268000000","40.4533082956","-79.9915511953"
"0051E00051000000","40.4595491194","-79.949082241"
"0121K00041000000","40.4857983379","-79.9284493927"
"0051G00047000000","40.4589036043","-79.9404050027"
"0023K00347000000","40.456778866","-80.0088632363"
"0026D00129000000","40.4623675303","-79.9509177985"
"0012L00058000000","40.4273223021","-79.9744208648"
"0002K00154000000","40.435930282","-79.9930705917"
"0025J00015000000","40.4553812995","-79.9824821107"
"0084M00108000000","40.4570395031","-79.9157299194"
"0020B00148000000","40.4506866827","-80.0422397275"
"0055G00003000000","40.4209405907","-79.9411080856"
"0184A00316000000","40.3739565996","-79.9123766269"
"0001R00035000000","40.4337686185","-80.0058421329"
"0051A00241000000","40.4614048375","-79.9463725557"
"0055J00114000000","40.4159064666","-79.9484456346"
"0087G00168000000","40.4304976507","-79.9231011297"
"0001G00239000000","40.4391332671","-80.0062348098"
"0080P00271000000","40.4744446457","-79.9605508722"
"0023N00051000000","40.4550252309","-80.0131145157"
"0009R00194000000","40.4444600323","-79.9890657746"
"0083A00061000000","40.4706474521","-79.9319731008"
"0030F00150000000","40.4210734237","-79.9580561879"
"0091L00302000000","40.3881905994","-79.9203405771"
"0002D00089000000","40.4424793742","-79.9845148641"
"0002J00104000000","40.438133723","-79.9988191547"
"0002J00104000000","40.438133723","-79.9988191547"
"0025P00275000000","40.4548944551","-79.9757860593"
"0121J00034000000","40.4853332212","-79.9327466533"
"0087L00317000000","40.4278077181","-79.9207917335"
"0070E00300000000","40.4486052545","-80.0839226561"
"0040L00207000000","40.4361964376","-80.0577889082"
"0011D00350000000","40.4400203182","-79.9686162541"
"0084B00173000C00","40.4621549752","-79.9275565313"
"0001G00212000000","40.4382066674","-80.0043963728"
"0049L00344000000","40.4651367966","-79.9567141029"
"0051A00241000000","40.4614048375","-79.9463725557"
"0029C00348000000","40.4312214231","-79.9541697915"
"0176B00019000000","40.4428717296","-79.8940318885"
"0027A00095000000","40.4514829909","-79.9653812748"
"0027D00320000000","40.4526124322","-79.9500820595"
"0040H00068000000","40.440582521","-80.0514687919"
"0009D00068000000","40.4513092878","-79.984756839"
"0049F00211000000","40.4690707332","-79.9602971211"
"0027C00214000000","40.4512227751","-79.9553639567"
"0084E0030200CG00","40.4581772844","-79.9299495854"
"0049K00257000000","40.4672157972","-79.9577819257"
"0125C00131000000","40.4612277783","-79.9065687193"
"0025F0017700A300","40.4587280694","-79.9750273096"
"0029E00015000000","40.4284602373","-79.9662815451"
"0175N00190000000","40.4442512964","-79.8974718423"
"0061H00044000000","40.4001315048","-80.0028859255"
"0030A00027000000","40.4214114014","-79.9647009579"
"0050G00282000000","40.4688240139","-79.9385673776"
"0004R00251000000","40.4252172046","-80.0047210786"
"0049G00285000000","40.4688572442","-79.9557843189"
"0051D00210000000","40.4612749901","-79.9344845024"
"0053C00110000000","40.4420584169","-79.9383805553"
"0057G00308000000","40.4013278696","-79.9376676383"
"0049J00219000000","40.4665869899","-79.9641416088"
"0009S00008000000","40.4453628844","-79.9871896029"
"0001H00030000000","40.4399201571","-80.0035680945"
"0082R00016000000","40.4736620914","-79.9236865994"
"0051R00150000000","40.4546013544","-79.9393353302"
"0013C00084000000","40.4227029575","-79.9705420775"
"0054K00230000000","40.426261093","-79.9448257635"
"0002A00275000000","40.4421320291","-79.9955424552"
"0087H00067000000","40.4305016147","-79.9169933923"
"0001H00030000000","40.4399201571","-80.0035680945"
"0055J00114000B00","40.4161119302","-79.9485926002"
"0045B00058000000","40.4703593881","-80.0278472348"
"0120N00015003800","40.4841707351","-79.950046147"
"0171G00051000000","40.486872355","-79.8896806798"
"0084C00055000000","40.460015708","-79.9231934238"
"0007L00032000000","40.4471260635","-80.0220131787"
"0163F00253000000","40.4978274119","-80.0098142282"
"0049L00186000000","40.4669552459","-79.9549331028"
